INFO     | 2025-09-07 11:23:57,799 | CLIENT/SENDER            | Sending notification: {"targets": [{"fcmToken": "ecF9009QS_WXzjtZfW1SM0:APA91bG0AWrWps9teSqN-BjNvSFV4iH4Rw-Y3iLr4FNbDk_PIxuuDKpKfXJBir0Vq_dmqOtOXQ8NMtJX8XO7mW_uCdHA7v9n70aC0OySUmHrNknsXAOBZrM", "fcmTokenFallback": null, "instanceId": "543c9a44-eab2-44a2-b50b-ca85c3333f45"}], "highPriority": true, "androidData": "QDSR8BNd1eQkJVcUoAwByj/YR02siq5WN1bZgDRQ9lhr+ld+u1YnaqPtFV4wpyx80ENij280clrvmfoPY0ZfI0ChuFl4qOWxLUruMakPZmC6ZFyuruF1PB3qamFWOJYbAQuROwU97iB1CFXGcWxvnb/yws8qKXz9sSWLV9T8uR0N+faT+dOwhAxwtefXKc7/HU+bZ9uyD+WumvP7/JJxgeAQmteJEJUn31RFjDgaPQ7xnUE52WsBd6dPWIMykBecBp0NKkNCnRwhuKUih45uAX3wUHNpmZdj7xcRvyVesVBMfGiP6sliUI7EULkp1JZ90nCV6BVpIGOtgT8COk6mbKuSfltZGPQ8SClNN81D68cI0LWYTcYOjCbaJ2MIWZYWcldECkeMMwmLTji6w7HcAw==", "apnsData": null}
INFO     | 2025-09-07 11:23:58,129 | CLIENT/SENDER            | Send to 1 was success {'success': True, 'invalidTokens': []} (Execution ID: qyzhfnnw2klh)
INFO     | 2025-09-07 11:24:30,061 | DATABASE                 | Updating presence
INFO     | 2025-09-07 11:24:30,163 | DATABASE                 | Updating presence
INFO     | 2025-09-07 11:26:04,791 | CLIENT                   | Sending progress ({'print_id': 'e24dfe9f1fd540ccb7177518b993ce10', 'file_name': 'result - 2025-07-25T081619.603_0.2mm_PLA_Generic Klipper Printer_3h38m.gcode', 'file_path': 'result - 2025-07-25T081619.603_0.2mm_PLA_Generic Klipper Printer_3h38m.gcode', 'FileSizeKb': '25075', 'FilamentUsageMm': '10251', 'FilamentWeightMg': '0', 'Event': 'progress', 'time_remaining_sec': '6394', 'CurrentLayer': '128', 'TotalLayers': '419', 'progress_percent': '44', 'duration_sec': '5326.565473794937'})
INFO     | 2025-09-07 11:26:04,792 | CLIENT/SENDER            | Preparing notification for progress
INFO     | 2025-09-07 11:26:04,793 | CLIENT/SENDER            | Finding targets for event=progress
INFO     | 2025-09-07 11:28:14,870 | CLIENT                   | Sending progress ({'print_id': 'e24dfe9f1fd540ccb7177518b993ce10', 'file_name': 'result - 2025-07-25T081619.603_0.2mm_PLA_Generic Klipper Printer_3h38m.gcode', 'file_path': 'result - 2025-07-25T081619.603_0.2mm_PLA_Generic Klipper Printer_3h38m.gcode', 'FileSizeKb': '25075', 'FilamentUsageMm': '10251', 'FilamentWeightMg': '0', 'Event': 'progress', 'time_remaining_sec': '6300', 'CurrentLayer': '131', 'TotalLayers': '419', 'progress_percent': '45', 'duration_sec': '5456.644541978836'})
INFO     | 2025-09-07 11:28:14,872 | CLIENT/SENDER            | Preparing notification for progress
INFO     | 2025-09-07 11:28:14,873 | CLIENT/SENDER            | Finding targets for event=progress
INFO     | 2025-09-07 11:28:14,888 | CLIENT/SENDER            | Sending notification: {"targets": [{"fcmToken": "ecF9009QS_WXzjtZfW1SM0:APA91bG0AWrWps9teSqN-BjNvSFV4iH4Rw-Y3iLr4FNbDk_PIxuuDKpKfXJBir0Vq_dmqOtOXQ8NMtJX8XO7mW_uCdHA7v9n70aC0OySUmHrNknsXAOBZrM", "fcmTokenFallback": null, "instanceId": "543c9a44-eab2-44a2-b50b-ca85c3333f45"}], "highPriority": true, "androidData": "Ico1KjyVZoB0EPEbrSWgD6h/XS69eI8IxXwIMdXFL1z4/SQBDlCg4vyS1Ntva3BTEKrKneK/XiKffgnl3Vg01xqSzIZCZQfg6PxRGGa9Agj+j8VbYnnfagWKDxRR5RKoC9HRHDByqV+q7de8LIzZGcGK11M0g7MRp6IGwCZfcHcaQcLKVEK8k9/tCUxD6/xlbDrOjWt3EgXK6HWegGGe1U7Wyvtgt2zJGkOR7o50cs939GYeNfYNgHsK847X/ghLV8zEHwBmjL8pFUO6PUDJtqWn+5aw5lY2zTabHiqLaWp69TKtBO7zZFJqBZlu7zgvFNT5BXFPjlh3v6LSLPoDwogM9GV1+sXYDPfxdZiHLr01vVb0Z5J3naq6AUCnzO4LWkQ5f67m/9TLhUiHldX4Zg==", "apnsData": null}
